SdkName,SdkType,Metric,Run,Value
firebase,Analytics,Energy,3,212.927744316768
firebase,Analytics,Energy,4,211.871161080808
firebase,Analytics,Energy,5,213.816442777583
firebase,Analytics,Energy,6,213.376867752494
firebase,Analytics,Energy,7,212.310654764416
firebase,Analytics,Energy,8,214.972008578647
firebase,Analytics,Energy,9,213.576701778062
firebase,Analytics,Energy,10,215.929447791263
firebase,Analytics,Energy,11,212.385624826843
firebase,Analytics,Energy,12,213.324014972587
firebase,Analytics,Energy,13,213.763737498391
firebase,Analytics,Energy,14,213.225813447246
firebase,Analytics,Energy,15,214.604216817298
firebase,Analytics,Energy,16,213.544751191087
firebase,Analytics,Energy,17,214.003092995666
firebase,Analytics,Energy,18,212.703425419251
firebase,Analytics,Energy,19,213.482462466574
firebase,Analytics,Energy,20,213.165759067162
firebase,Analytics,Energy,21,212.679706699449
firebase,Analytics,Energy,22,214.414662179523
firebase,Analytics,Energy,23,212.868557915978
firebase,Analytics,Energy,24,213.534606200247
firebase,Analytics,Energy,25,214.539322656116
firebase,Analytics,Energy,26,217.173624657845
firebase,Analytics,Energy,27,213.241812700523
firebase,Analytics,Energy,28,213.496735653175
firebase,Analytics,Energy,29,218.070792568657
firebase,Analytics,Energy,30,213.775489199811
flurry,Analytics,Energy,1,210.465895314007
flurry,Analytics,Energy,2,211.418274269182
flurry,Analytics,Energy,3,211.921722527756
flurry,Analytics,Energy,4,213.121379198868
flurry,Analytics,Energy,5,214.325271294925
flurry,Analytics,Energy,6,214.955220631258
flurry,Analytics,Energy,7,213.722769135665
flurry,Analytics,Energy,8,212.479688973096
flurry,Analytics,Energy,9,213.503410760443
flurry,Analytics,Energy,10,213.931061736099
flurry,Analytics,Energy,11,213.657141644525
flurry,Analytics,Energy,12,214.323529234267
flurry,Analytics,Energy,13,216.151368576535
flurry,Analytics,Energy,14,214.360001422363
flurry,Analytics,Energy,15,213.26600192632
flurry,Analytics,Energy,16,213.509310395604
flurry,Analytics,Energy,17,213.485434229759
flurry,Analytics,Energy,18,214.004894084835
flurry,Analytics,Energy,19,214.130590477116
flurry,Analytics,Energy,20,215.776467727805
flurry,Analytics,Energy,21,215.769086518546
flurry,Analytics,Energy,22,214.08808263761
flurry,Analytics,Energy,23,213.98520974765
flurry,Analytics,Energy,24,214.315598201266
flurry,Analytics,Energy,25,213.223691429953
flurry,Analytics,Energy,26,215.382009887036
flurry,Analytics,Energy,27,214.417835516354
flurry,Analytics,Energy,28,212.570201121042
flurry,Analytics,Energy,29,214.533968699375
flurry,Analytics,Energy,30,214.367088140982
google,Analytics,Energy,1,212.018808228276
google,Analytics,Energy,2,214.700864968291
google,Analytics,Energy,3,211.937098582433
google,Analytics,Energy,4,212.313974810335
google,Analytics,Energy,5,213.021339997222
google,Analytics,Energy,6,213.861240141594
google,Analytics,Energy,7,213.258513340785
google,Analytics,Energy,8,215.36361220306
google,Analytics,Energy,9,212.80016029345
google,Analytics,Energy,10,214.340446197482
google,Analytics,Energy,11,212.999850397782
google,Analytics,Energy,12,215.037406788431
google,Analytics,Energy,13,213.631433801115
google,Analytics,Energy,14,213.480038102307
google,Analytics,Energy,15,212.816827113556
google,Analytics,Energy,16,214.05229545773
google,Analytics,Energy,17,214.340070851816
google,Analytics,Energy,18,214.142723724779
google,Analytics,Energy,19,214.074034820956
google,Analytics,Energy,20,214.849564928605
google,Analytics,Energy,21,213.571198536951
google,Analytics,Energy,22,213.159576530375
google,Analytics,Energy,23,214.604242480608
google,Analytics,Energy,24,213.898109120842
google,Analytics,Energy,25,215.675291854392
google,Analytics,Energy,26,214.693840136725
google,Analytics,Energy,27,214.340473741724
google,Analytics,Energy,28,214.761074345841
google,Analytics,Energy,29,215.025456050791
google,Analytics,Energy,30,214.461586776676
firebase,Analytics,Memory,1,35.4809126420454
firebase,Analytics,Memory,2,35.6942027698863
firebase,Analytics,Memory,3,35.5813210227272
firebase,Analytics,Memory,4,35.5983664772728
firebase,Analytics,Memory,5,35.7653586647728
firebase,Analytics,Memory,6,35.1095081676137
firebase,Analytics,Memory,7,35.5750621448863
firebase,Analytics,Memory,8,35.5052823153409
firebase,Analytics,Memory,9,35.9280894886363
firebase,Analytics,Memory,10,35.4450905539772
firebase,Analytics,Memory,11,35.0047052556818
firebase,Analytics,Memory,12,35.6119495738637
firebase,Analytics,Memory,13,34.8835671164772
firebase,Analytics,Memory,14,34.8790394176137
firebase,Analytics,Memory,15,35.9203657670454
firebase,Analytics,Memory,16,35.5802112926137
firebase,Analytics,Memory,17,35.8330078125
firebase,Analytics,Memory,18,35.6993519176137
firebase,Analytics,Memory,19,35.0201083096591
firebase,Analytics,Memory,20,35.8625710227272
firebase,Analytics,Memory,21,35.5464311079546
firebase,Analytics,Memory,22,35.009765625
firebase,Analytics,Memory,23,35.5119406960228
firebase,Analytics,Memory,24,35.9918767755682
firebase,Analytics,Memory,25,35.5585493607954
firebase,Analytics,Memory,26,36.3793501420454
firebase,Analytics,Memory,27,35.5803888494318
firebase,Analytics,Memory,28,34.9972034801137
firebase,Analytics,Memory,29,34.9134854403409
firebase,Analytics,Memory,30,34.9756303267046
flurry,Analytics,Memory,1,36.2012606534091
flurry,Analytics,Memory,2,36.2004616477272
flurry,Analytics,Memory,3,36.5158025568182
flurry,Analytics,Memory,4,36.0973899147728
flurry,Analytics,Memory,5,36.2717063210228
flurry,Analytics,Memory,6,36.2611860795454
flurry,Analytics,Memory,7,35.5319158380682
flurry,Analytics,Memory,8,36.1750710227272
flurry,Analytics,Memory,9,36.5784801136363
flurry,Analytics,Memory,10,36.0580610795454
flurry,Analytics,Memory,11,35.55224609375
flurry,Analytics,Memory,12,35.6952237215909
flurry,Analytics,Memory,13,35.4894797585228
flurry,Analytics,Memory,14,36.1575372869318
flurry,Analytics,Memory,15,36.2734375
flurry,Analytics,Memory,16,36.1983309659091
flurry,Analytics,Memory,17,35.64404296875
flurry,Analytics,Memory,18,35.5276544744318
flurry,Analytics,Memory,19,36.1592240767046
flurry,Analytics,Memory,20,36.1232688210228
flurry,Analytics,Memory,21,36.2213245738637
flurry,Analytics,Memory,22,35.4275568181818
flurry,Analytics,Memory,23,36.1803533380682
flurry,Analytics,Memory,24,36.1029385653409
flurry,Analytics,Memory,25,35.4078924005682
flurry,Analytics,Memory,26,36.3313654119318
flurry,Analytics,Memory,27,36.2621626420454
flurry,Analytics,Memory,28,36.1749378551137
flurry,Analytics,Memory,29,36.3995916193182
flurry,Analytics,Memory,30,35.6365411931818
google,Analytics,Memory,1,35.4891690340909
google,Analytics,Memory,2,35.2765891335228
google,Analytics,Memory,3,35.3889825994318
google,Analytics,Memory,4,35.3629261363637
google,Analytics,Memory,5,34.9573419744318
google,Analytics,Memory,6,35.4940962357954
google,Analytics,Memory,7,35.3639470880682
google,Analytics,Memory,8,35.4993785511363
google,Analytics,Memory,9,35.4036754261363
google,Analytics,Memory,10,35.4192116477272
google,Analytics,Memory,11,35.4885919744318
google,Analytics,Memory,12,34.8249289772728
google,Analytics,Memory,13,34.74267578125
google,Analytics,Memory,14,35.35546875
google,Analytics,Memory,15,35.4567649147728
google,Analytics,Memory,16,34.7286931818182
google,Analytics,Memory,17,34.7236772017046
google,Analytics,Memory,18,35.4356800426137
google,Analytics,Memory,19,35.3160511363637
google,Analytics,Memory,20,35.32470703125
google,Analytics,Memory,21,35.4177468039772
google,Analytics,Memory,22,35.3548473011363
google,Analytics,Memory,23,35.4647993607954
google,Analytics,Memory,24,34.6726740056818
google,Analytics,Memory,25,35.3602183948863
google,Analytics,Memory,26,34.6858132102272
google,Analytics,Memory,27,35.4948952414772
google,Analytics,Memory,28,34.7605646306818
google,Analytics,Memory,29,35.8230202414772
google,Analytics,Memory,30,35.599609375
firebase,Analytics,Network,1,17
firebase,Analytics,Network,2,6.4248046875
firebase,Analytics,Network,3,5.306640625
firebase,Analytics,Network,4,5.2490234375
firebase,Analytics,Network,5,5.3662109375
firebase,Analytics,Network,6,31
firebase,Analytics,Network,7,5.3662109375
firebase,Analytics,Network,8,5.6142578125
firebase,Analytics,Network,9,5.4462890625
firebase,Analytics,Network,10,5.1611328125
firebase,Analytics,Network,11,16
firebase,Analytics,Network,12,6.048828125
firebase,Analytics,Network,13,5.7490234375
firebase,Analytics,Network,14,6.541015625
firebase,Analytics,Network,15,5.41015625
firebase,Analytics,Network,16,5.21875
firebase,Analytics,Network,17,5.9345703125
firebase,Analytics,Network,18,5.16015625
firebase,Analytics,Network,19,5.2470703125
firebase,Analytics,Network,20,12
firebase,Analytics,Network,21,5.263671875
firebase,Analytics,Network,22,5.3701171875
firebase,Analytics,Network,23,5.5927734375
firebase,Analytics,Network,24,24
firebase,Analytics,Network,25,5.4951171875
firebase,Analytics,Network,26,5.51953125
firebase,Analytics,Network,27,6.470703125
firebase,Analytics,Network,28,5.2177734375
firebase,Analytics,Network,29,5.4951171875
firebase,Analytics,Network,30,5.1845703125
flurry,Analytics,Network,1,18
flurry,Analytics,Network,2,17
flurry,Analytics,Network,3,18
flurry,Analytics,Network,4,18
flurry,Analytics,Network,5,18
flurry,Analytics,Network,6,18
